,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_186,-137.2607185654264,-136.44751620109648,-0.8132023643299249,0:00:07.130103,0
gene_187,-7995.75153130624,-21151.190874703796,13155.439343397557,0:00:01.955065,0
gene_188,-182.3779013311436,-179.08524937960158,-3.2926519515420125,0:00:04.370200,0
gene_189,-9326.120915004085,-36364.52966071418,27038.408745710094,0:00:02.532574,0
gene_190,-252.3585960556245,-339.2527289864625,86.894132930838,0:00:06.367278,0
gene_191,-3042.535006805159,-26870.502471742537,23827.967464937377,0:00:03.245064,0
gene_192,-184.1461294012989,-219.77272070288535,35.626591301586444,0:00:04.673387,0
gene_193,-23908.769262901274,-65903.97043668844,41995.201173787165,0:00:02.262118,0
gene_194,-288.84693976026927,-393.5007066527588,104.65376689248956,0:00:02.947056,0
gene_195,-2856.39712491755,-45116.17859491048,42259.78146999293,0:00:03.691853,0
gene_196,-199.46199925374293,-229.20247353921852,29.740474285475585,0:00:08.139968,0
gene_197,-1711.5771618959766,-32293.267973015103,30581.690811119126,0:00:03.562111,0
gene_198,-189.66560056606986,-173.02559066013683,-16.640009905933027,0:00:49.113535,0
gene_199,-3722.7056135749926,-13954.361888468951,10231.656274893958,0:00:01.828814,0
gene_200,-124.92790658631355,-121.4110402972842,-3.516866289029352,0:00:03.964604,0
gene_201,-5990.800008736005,-13086.445145593709,7095.645136857704,0:00:02.118297,0
gene_202,-147.0853777415166,-145.58538362191814,-1.4999941195984547,0:00:04.473540,0
gene_203,-11148.264817636596,-24341.22511358051,13192.960295943913,0:00:02.284344,0
gene_204,-295.025515336261,-319.5134146315787,24.48789929531773,0:00:08.764836,0
gene_205,-3455.2955904521496,-6516.2819203839135,3060.986329931764,0:00:02.359451,0
gene_206,-128.75957135745617,-128.22221924998465,-0.53735210747152,0:00:06.345699,0
gene_207,-14046.67394529915,-21027.98639881961,6981.312453520459,0:00:02.200526,0
gene_208,-257.1858103379506,-287.5411832387253,30.355372900774682,0:00:04.866208,0
gene_209,-15040.361077933387,-70532.15459077751,55491.79351284413,0:00:02.500438,0
gene_210,-259.4083562931232,-410.35719464623753,150.94883835311435,0:00:07.705283,0
gene_211,-20725.03937009241,-148482.02443069033,127756.98506059792,0:00:01.803983,0
gene_212,-486.87258235160573,-609.6338645707741,122.76128221916838,0:00:12.331775,0
gene_213,-3812.411301108751,-56178.63962259223,52366.228321483475,0:00:01.988714,0
gene_214,-285.0057894888431,-323.97610417895737,38.970314690114265,0:00:08.320492,0
gene_215,-4586.736593047904,-31356.74464650188,26770.008053453977,0:00:02.310680,0
gene_216,-233.58072811013847,-231.6100014200882,-1.9707266900502702,0:00:07.925482,0
gene_217,-8194.446568244133,-24304.44580902624,16109.999240782108,0:00:01.810282,0
gene_218,-290.48517031429304,-320.64069942689554,30.155529112602494,0:00:06.954945,0
gene_219,-8008.037767343721,-23884.308975789547,15876.271208445825,0:00:02.410397,0
gene_220,-174.08100639783413,-193.55108631604415,19.47007991821002,0:00:07.510304,0
gene_221,-5081.219473366844,-12720.695374946416,7639.475901579572,0:00:02.102278,0
gene_222,-141.84004378881014,-146.17171862888532,4.3316748400751806,0:00:04.451750,0
gene_223,-6362.809761606299,-13057.068703332669,6694.25894172637,0:00:07.077857,0
gene_224,-161.2667205985184,-156.63198041765236,-4.634740180866032,0:00:03.280881,0
gene_225,-2210.7615043021156,-6366.007049869505,4155.24554556739,0:00:01.813377,0
gene_226,-116.9295975893367,-115.74419987818216,-1.1853977111545362,0:00:04.721854,0
gene_227,-920.6089051299452,-10871.60182856282,9950.992923432874,0:00:02.301511,0
gene_228,-137.7549555685638,-134.44790330458315,-3.307052263980637,0:00:08.904212,0
gene_229,-29732.03422148461,-167128.69329941794,137396.65907793332,0:00:02.526886,0
gene_230,-636.812199669341,-706.6902583725206,69.87805870317959,0:00:12.414212,0
gene_231,-11427.459311287232,-79454.06581061542,68026.60649932819,0:00:02.058891,0
gene_232,-315.4167313042085,-330.37668814401985,14.959956839811355,0:00:07.352214,0
gene_233,-5555.752929724609,-34457.69471301995,28901.94178329534,0:00:02.543272,0
gene_234,-235.7849710142327,-240.90480246249749,5.11983144826479,0:00:16.563429,0
gene_235,-21530.592654238597,-77939.02166236051,56408.42900812191,0:00:04.836524,0
gene_236,-401.302112393014,-506.1564266340944,104.85431424108037,0:00:05.428729,0
gene_237,-14416.557417671242,-46047.68800323466,31631.13058556342,0:00:02.132956,0
gene_238,-288.12515682229764,-318.1947019290012,30.069545106703572,0:00:07.476481,0
gene_239,-8344.323495345065,-45264.155746165896,36919.83225082083,0:00:04.036844,0
gene_240,-183.62972386273796,-201.39630528894236,17.766581426204397,0:00:07.791890,0
gene_241,-14775.415257605942,-33581.7859208992,18806.37066329326,0:00:01.696212,0
gene_242,-178.9108974526896,-184.2556648410797,5.344767388390096,0:00:07.803849,0
gene_243,-5340.296577045624,-14337.447990367576,8997.151413321953,0:00:02.019019,0
gene_244,-155.50542089591536,-126.27895287929626,-29.22646801661911,0:00:54.069606,0
gene_245,-3279.6444043679244,-7385.590868625496,4105.946464257571,0:00:02.225203,0
gene_246,-118.34417731247697,-115.68086476306691,-2.6633125494100653,0:00:12.422436,0
gene_247,-13312.935969640668,-73659.90401811339,60346.96804847272,0:00:03.119077,0
gene_248,-688.749987480608,-1110.7621342687207,422.0121467881128,0:00:07.633954,0
gene_249,-9127.886797989431,-38600.76211418955,29472.87531620012,0:00:02.639755,0
gene_250,-342.36105557082783,-500.95631140219444,158.59525583136661,0:00:06.988192,0
gene_251,-8465.040998590468,-27519.208976904447,19054.167978313977,0:00:03.168857,0
gene_252,-291.76232305622204,-337.062853848674,45.30053079245198,0:00:08.596889,0
gene_253,-19673.614416129705,-44442.404600511145,24768.79018438144,0:00:07.623546,0
gene_254,-299.53887605503957,-325.95392942904346,26.41505337400389,0:00:04.178142,0
gene_255,-9879.833304374119,-29883.345710799505,20003.512406425387,0:00:01.968452,0
gene_256,-243.7388000847063,-302.6247666571239,58.88596657241763,0:00:07.072972,0
gene_257,-4808.571259966745,-23571.850251670323,18763.278991703577,0:00:02.919794,0
gene_258,-209.24404466685021,-178.07804290304097,-31.16600176380925,0:00:54.333639,0
gene_259,-20465.265619567406,-86441.46778905854,65976.20216949114,0:00:02.195594,0
gene_260,-464.8316152610661,-591.2249853456725,126.39337008460643,0:00:07.592355,0
gene_261,-11508.778694922807,-40423.23134027167,28914.45264534886,0:00:02.444150,0
gene_262,-318.54606234630336,-333.183953344734,14.637890998430635,0:00:07.542555,0
gene_263,-11257.798721761157,-37773.61132126009,26515.81259949893,0:00:02.384720,0
