"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPAC13G6.15c",232.100750951268,-0.00264015575148316,0.232704086808096,3.72595293033606,0.589506561589257,1
"SPNCRNA.621",40.8006625262945,0.214189926403539,0.556366082294496,1.62536563607716,0.89816499331578,1
"SPAC24B11.05",294.708248178641,0.0274885611885932,0.314143232090211,1.73761177918703,0.884127659443512,1
"SPAC24B11.08c",179.496290116166,-0.322673541655632,0.306510944157847,8.02905294330634,0.154641714710537,1
"SPNCRNA.142",0.395419119743475,2.59248782494065,5.56087126092265,0.651706358176781,0.985513652078554,1
"SPAC24B11.09",252.12570643729,-0.343831547840353,0.346762633769034,2.71821158839884,0.743331677732414,1
"SPAC24B11.11c",731.334107757585,0.0179688658117051,0.148991845285347,4.92348274117234,0.425289732242991,1
"SPAC24B11.12c",2091.09116283786,0.107812187442709,0.123665966182736,2.4232263938477,0.788010306696796,1
"SPNCRNA.624",61.6873219202328,-0.308203030886734,0.564028223825609,0.738635258689726,0.980781188418068,1
"SPAC806.02c",1050.94339339279,0.127009699661849,0.161486163476199,1.23581389939551,0.941395712666566,1
"SPNCRNA.625",14.7104315386331,-1.14948122537923,0.951245653658125,3.01676512567852,0.697401003397166,1
"SPAC806.11",2.88865325972271,-3.1097989697566,2.23996449108285,5.67866095011209,0.338752402308543,1
"SPNCRNA.03",0,NA,NA,NA,NA,NA
"SPNCRNA.626",41.5828066731817,0.0551760043626754,0.449565543285629,9.99550764450882,0.0753626351575479,1
"SPNCRNA.627",3.40164092795582,-1.31850192866755,1.46416380245105,8.7515675525986,0.119393111422755,1
"SPNCRNA.628",2.29631175936514,-0.406922865943919,1.95103491270103,2.33209905470474,0.801541081774306,1
"SPAC806.06c",615.711001478252,0.0733145574606035,0.15323165150177,4.27080613644205,0.511121022571966,1
"SPAC806.07",775.423138994431,-0.407607606512466,0.233422053874685,4.76833412360719,0.444802184480598,1
"SPNCRNA.630",21.5387788506803,-0.267134867001909,0.679820864899751,4.33182632441159,0.502694632907435,1
"SPAC1F5.11c",1991.65627128548,0.0711209836990276,0.164436753876003,2.38711683816956,0.793391119989581,1
"SPNCRNA.632",1.69519366880952,2.26592955589196,2.81966114590707,5.8113756462625,0.325007749186056,1
"SPNCRNA.633",6.93695881706616,-0.736279167957615,1.41096244723224,5.16159400245442,0.396479231716873,1
"SPAC1F5.07c",552.485576511922,-0.370215498037047,0.193190578513304,5.92074662517575,0.314007176927774,1
"SPAC1F5.04c",410.293093658821,-0.109464712222575,0.305589519368443,7.41627121561663,0.191476156068842,1
"SPAC1F5.02",5292.75496946158,0.0881970456022418,0.134453591895873,4.94855327168284,0.422191068261852,1
"SPNCRNA.148",0.469058644798555,-2.24747442747056,4.8591943651264,1.2350575163813,0.941470184036475,1
"SPAC18B11.10",708.923364434183,0.252761842408064,0.193900203521674,4.25781752268898,0.512924627083428,1
"SPNCRNA.27",0.0680186161686367,0.354370232105079,10.2661343065567,0.122079541469606,0.999734809680909,1
"SPNCRNA.635",2.24048357007311,-2.14303254863434,1.80879997023068,3.64481684400104,0.601597050291598,1
"SPAC18B11.09c",174.834623314077,0.0974259170018196,0.307139334055314,3.88790645991452,0.565665069493665,1
"SPAC18B11.08c",162.283747699016,0.426506127209277,0.309942464556208,5.64414988914905,0.342398053565876,1
"SPAC18B11.07c",359.278088298278,0.249885302163699,0.182697445862317,7.86534347246362,0.163814621517271,1
"SPAC18B11.04",134.142018297923,-0.363560925316223,0.346716391183336,3.00895552703707,0.698605072837992,1
"SPNCRNA.636",155.02974771711,0.161992694497861,0.280476949408231,7.70262237769663,0.173404176312747,1
"SPAC18B11.02c",570.837545568453,0.0995976453234931,0.210515088948597,1.16564391973697,0.948130594236955,1
"SPAC12G12.15",136.333767905005,0.19720769006142,0.336781411687881,6.9409036166723,0.225072615656318,1
"SPNCRNA.637",16.1957732427418,0.755249236547449,0.704234106773148,1.53244366712366,0.909295730113069,1
"SPAC12G12.14c",179.228613446179,0.354783820810945,0.275348201026994,3.80793182224858,0.577387148731046,1
"SPNCRNA.638",1.0032836543959,1.66939570141128,2.70943880712046,9.02959454219729,0.107889537654723,1
"SPAC12G12.10",542.550513558345,-0.0101220231673924,0.183830551882846,1.0623747322793,0.957379573492423,1
"SPAC12G12.09",518.074793702999,0.0311525548489347,0.177021724934178,0.391852088754092,0.995551047198495,1
"SPAC12G12.06c",1264.37695784048,0.112198400252727,0.165356749243022,2.54170668941185,0.770201278842064,1
"SPNCRNA.639",0.923806513076228,-4.93743237776462,3.27758501413239,4.81148280537317,0.439317764171872,1
"SPAC12G12.03",889.539886699307,-0.0580336160255844,0.194334280631664,0.95090408017694,0.966427704946874,1
"SPAC630.05",379.921118088042,-0.192826646282049,0.258494832729406,5.76483728985079,0.329777918428248,1
"SPAC630.15",38.1818672090029,0.259421522166696,0.727869491961721,0.668496035678174,0.984652844154856,1
"SPATRNAPRO.01",283.741148544531,0.319260049586162,0.621635771522868,3.65378148463901,0.600256754974421,1
"SPAC630.11",375.151019276724,0.00200652728418271,0.26023433904416,4.95004598316683,0.422007053126585,1
"SPAC630.12",406.586206347142,0.00676476653791059,0.170352047456301,7.68335859659425,0.17457142107673,1
"SPAC630.13c",740.944882967195,0.0326870748486644,0.133150283692155,7.30274586944597,0.199080677545415,1
"SPAC630.14c",662.211298215578,-0.0471603311242937,0.24329385814762,6.45053008756963,0.264813773151854,1
"SPAC1751.01c",100.646847920753,0.269938264444368,0.397601913468367,4.60647277698803,0.465765343283317,1
"SPAC1751.04",150.622194358173,0.113373052889427,0.311170135187681,1.37740863890446,0.926768481993879,1
"SPAC1751.02c",343.078370534639,0.0716204325304082,0.27927375069155,4.70119989629961,0.453422763008393,1
"SPAC31A2.02",341.43058779484,0.0852877926970267,0.24801531805793,1.82262270204882,0.873103579513246,1
"SPNCRNA.643",6.50271477473411,-2.91627531699354,1.40965424619063,5.91672471324551,0.314406503002795,1
"SPAC31A2.03",464.513646169149,-0.0962223283608881,0.240714400563236,1.2737218043431,0.9376123141063,1
"SPAC31A2.04c",602.165908880451,0.0238354409995488,0.166632800776248,0.706251625314792,0.982623810104652,1
"SPAC31A2.06",568.363066797709,-0.154418419175935,0.196397886881985,2.89617654585942,0.715988493860169,1
"SPAC31A2.07c",965.588255502039,-0.130123676050304,0.157028275945956,7.74505081678205,0.170857417003564,1
"SPAC31A2.09c",330.01608909114,-0.0375570612105096,0.189960166908261,1.74926382302311,0.882635837447016,1
"SPAC31A2.11c",190.044854175217,0.0524319844643505,0.287393602617134,2.36297746516743,0.796974439986332,1
"SPAC31A2.12",493.567999249923,0.25786621037908,0.267743674541193,1.67389314821747,0.892172223514807,1
"SPAC31A2.13c",137.522563915395,0.127241390932783,0.382258782283151,0.270907074857462,0.998154718888153,1
"SPAC31A2.14",338.729870638378,0.160223352928761,0.18609534066005,13.1063046099713,0.022402685590351,0.718492463068315
"SPAC31A2.16",388.881398217004,-0.142242269184597,0.214874753291385,4.8788049921107,0.430849485358592,1
"SPAC13C5.01c",962.309279325047,-0.0541292485746737,0.15367266350912,5.90753185064256,0.315320727882738,1
"SPNCRNA.644",4.77620922783465,-0.281690186066005,1.50246009287173,0.395811143628123,0.99544418425999,1
"SPAC13C5.04",710.039570352069,-0.397438869830852,0.29955426859604,23.9987341799889,0.000217234580006869,0.0979003840564291
"SPNCRNA.645",36.254642631334,-0.262538203969625,0.521507366826146,1.09640693756057,0.954421221426003,1
"SPAC13C5.05c",453.533422196284,0.036943963884494,0.151558833975416,1.1088910313722,0.953313671835535,1
"SPAC13C5.06c",153.725768237628,0.186125167867976,0.334975283597831,3.0650773278619,0.68995335960895,1
"SPNCRNA.05",0,NA,NA,NA,NA,NA
"SPATRNAVAL.01",4217.24830817343,-0.267145779940791,0.806906969537065,2.89579032379265,0.716047986767319,1
