,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC1751.03,-270.6917096401142,-137.8871669681893,-138.44107525458142,-5.636532582656457
SPAC31A2.05c,-194.850041687647,-102.97213997081968,-93.74103586733686,-1.8631341505094667
SPAC31A2.08,-192.72526851032998,-98.78191533157072,-97.17095134418496,-3.2275981654257464
SPAC31A2.10,-168.7609370972107,-88.89365576576056,-83.80707050916364,-3.9397891777134646
SPAC31A2.15c,-198.71562207786926,-101.57472474125986,-98.02144955534551,-0.8805522187361703
SPAC13C5.02,-184.11626603214924,-96.98657594949456,-91.18866379705729,-4.058973714402612
SPAC13C5.03,-168.8817757455993,-89.17753726048454,-79.8418362522237,-0.1375977671089572
SPSNORNA.01,-293.19957444980116,-148.8492292061059,-149.93678160966775,-5.5864363659725305
SPNCRNA.646,-186.81034771804872,-98.83322057772536,-93.62159104742682,-5.644463907103442
SPAC13C5.07,-283.4673184729902,-140.75862993793268,-146.62293458301085,-3.914246047953384
SPNCRNA.647,-145.28144586262806,-72.20955403699672,-72.42676104852673,0.6451307771046118
SPNCRNA.648,-157.76335565519094,-85.27311897451463,-79.46362226865739,-6.973385587981057
SPAC23E2.01,-273.93220994127563,-138.22913417554972,-140.70205105282037,-4.9989752870944235
SPNCRNA.649,-94.52470013898123,-50.02282928355047,-44.25472304764426,0.2471478077864901
SPAC23E2.03c,-147.49343491352937,-76.03092033898555,-74.52957769755149,-3.0670631230076424
SPNCRNA.650,-102.1534481571337,-52.94175462413462,-52.72784485416429,-3.5161513211651965
SPAC24H6.13,-284.29760433938145,-142.30084234302515,-146.24505807763617,-4.248296081279875
SPNCRNA.651,-151.30965141562675,-80.69622963477363,-76.19947178193391,-5.5860500010807925
SPAC24H6.10c,-310.1794807624112,-157.13926521537434,-158.29559689373198,-5.255381346695117
SPAC24H6.08,-210.17154580478714,-107.67742514704716,-106.86832036567709,-4.374199707937152
SPAC24H6.05,-211.75228267418308,-112.0865211840192,-102.70332467060058,-3.037563180436706
SPAC24H6.03,-186.39601359687683,-97.90128897954528,-90.49536139295357,-2.0006367756220698
SPNCRNA.47,-85.31950498689942,-48.126876862586144,-36.56668264397735,0.6259454803359148
SPAPB21F2.02,-246.46048744048903,-127.14850513673944,-125.19622155611208,-5.8842392523624465
SPAPB21F2.03,-174.7489953895375,-91.30574524892698,-86.52285102886542,-3.0796008882549017
SPAC227.01c,-170.60627489566738,-90.94503666227978,-84.67338312678314,-5.012144893395514
SPAC227.02c,-192.8453525096056,-99.21710265450814,-102.91411298042426,-9.285863125326784
SPAC227.03c,-206.3004834386161,-105.03397811897577,-105.55026628650499,-4.2837609668646905
SPNCRNA.656,-129.05843926347632,-68.81960812825648,-59.613584073981706,0.6252470612381273
SPAC227.04,-172.49648712924878,-90.3194607988552,-84.28319800261161,-2.1061716722180392
SPNCRNA.658,-114.29953405964645,-59.85799181266891,-61.069708229878756,-6.628165982901223
SPAC227.14,-189.59678657029625,-100.32391201585493,-91.13063846333804,-1.857763908896743
SPAC227.15,-209.30305349619667,-105.2741639067103,-109.04219391861947,-5.013304329133091
SPNCRNA.659,-198.53678968175063,-97.0335727170584,-102.50471451099656,-1.0014975463043072
SPAC227.17c,-211.34880469606705,-109.04853069740379,-109.35199750003021,-7.051723501366979
SPAC227.18,-261.42624241949454,-134.51399766285,-132.70053657820796,-5.788291821563464
SPAC2F7.02c,-195.32957987941163,-102.69231910333548,-96.75301887146306,-4.1157580953868935
SPAC2F7.03c,-207.76573022295173,-108.0144651727238,-102.72907784541744,-2.97781279518955
