gene,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde,sv_genes_gpcounts,gene_sh,llr_gpcounts_shuffled,LLR_shuffled,sv_genes_gpcounts_shuffled,sv_genes_spatialde_shuffled,sv_genes_spark
Grb2,,37.67682456,8.720715629,Vamp2,1700001L05Rik,3.06E-07,0.361487135,Tspan3,,AI593442
Gpm6b,,37.62234409,11.06874971,Dynll1,1700001L19Rik,0,0.000964007,Dclk1,,Bcl11b
Unc13c,,37.34792515,17.58713442,Nrgn,1700001O22Rik,0.104640876,0.00096401,Dynll1,,Kcnh3
Ndrg4,,37.19769027,6.040660573,Meis2,1700003E16Rik,0,0.000964007,Laptm4a,,Tspan3
Prdx6,,37.10530837,6.868351802,Snap25,1700003F12Rik,0.015554143,0.019695498,Dcn,,Kcna2
Rbfox3,,36.99895779,14.94824927,Mcf2l,1700003M07Rik,0,0.000964008,Psd,,Sema6d
Pmepa1,,36.26351494,14.01759629,Kctd12,1700007G11Rik,3.81E-06,0.00096401,Igfbp4,,Ywhaz
2310022B05Rik,,36.22308938,9.18922014,Nrsn1,1700007K13Rik,0.010556223,0.003319231,2310022B05Rik,,Abr
Igfbp4,,36.05019167,12.87828091,Igfbp5,1700007L15Rik,0,0.00096401,Pmepa1,,Scn3a
Psd,,36.01928325,12.78498404,Synpr,1700008F21Rik,0.005297805,0.000964011,Rbfox3,,Nudt4
Dcn,,35.98312182,6.17000855,Dcn,1700008O03Rik,0.073959134,0.00096401,Prdx6,,Cacna2d1
Laptm4a,,35.96732925,3.694083063,Ptn,1700009P17Rik,0,0.000964009,Ndrg4,,Fbxw7
Dynll1,,35.68752465,3.71929201,Unc13c,1700010I14Rik,3.53E-08,0.091591961,Unc13c,,Rrbp1
Dclk1,,35.51395814,0.693124397,Fmo1,1700011I03Rik,0.001175055,0.830944813,Gpm6b,,Fabp7
Tspan3,,35.50180786,4.442040777,Atf5,1700011J10Rik,0.137199824,0.945471203,Grb2,,Hadhb
Sparc,,35.49299157,7.912576003,Foxd3,1700012B09Rik,0.197295023,0.535492892,Ube2ql1,,Tcn2
Mapk1,,35.3089578,8.202288954,Igfbp4,1700012B15Rik,0.003388341,0.000964008,Aplp1,,Gpt2
Dlgap1,,34.96643853,8.857833064,Dlgap1,1700012D01Rik,0,0.000964011,Foxd3,,Camk2b
Camk2n1,,34.72327228,7.924309354,Grin1,1700013G23Rik,0,0.00096401,Gpt2,,Tubb2a
Sh3pxd2a,,34.6709437,10.31992345,Gprin1,1700013H16Rik,0,0.000964011,Igf1,,Tpt1
Grin1,,34.66175739,4.448960009,Prkca,1700015F17Rik,0,0.000964011,Rgcc,,Capns1
Agt,,34.41510409,12.05116437,Epas1,1700016C15Rik,2.89E-07,0.000964011,Hmgcs2,,Map2k1
Prkca,,34.2535045,10.86045065,Camk2n1,1700016K19Rik,0.001002834,0.000964009,Gja1,,Baiap2
Epas1,,34.04966789,3.643222704,Sh3pxd2a,1700017B05Rik,0.018732108,0.000964008,Igfbp7,,Fam63b
Gprin1,,34.00363812,9.812836368,Agt,1700018A04Rik,3.75E-08,0.00096401,Nrxn3,,Tmem132b
Slc1a2,,33.73497301,27.57921009,Ablim3,1700018L02Rik,0,0.000964009,Syn1,,Mapk1
Arf3,,33.57871454,7.50656079,Aqp4,1700019D03Rik,7.93E-08,0.000964008,Synpr,,Gsn
Aqp4,,33.51231315,15.86474978,Slc1a2,1700019G17Rik,5.90E-07,0.043353301,Cldn5,,Stk32c
Ablim3,,33.49412342,11.92181486,Arf3,1700019G24Rik,0,0.00096401,Ppia,,Nfia
Bpifb9b,,33.3111907,6.608858145,Mfap3l,1700020D05Rik,0,0.000964011,Nsg2,,Ndrg4
Mfap3l,,33.22942128,7.616735251,Bpifb9b,1700020I14Rik,0,0.000964008,Meis2,,Foxo1
Msi2,,33.03292026,12.22847145,Msi2,1700021F05Rik,0.008355488,0.000964009,Nudt4,,Rap1gds1
Doc2g,,32.94990493,30.64215413,Hpcal4,1700021K19Rik,0,0.000964011,Atp1a1,,Gda
Hpcal4,,32.91144652,10.69611934,Doc2g,1700023F06Rik,0.141488778,0.243911296,Kcnh3,,Ly6c1
S100b,,32.7718039,5.011771064,S100b,1700023L04Rik,5.42E-07,1.29690191,Ahcyl2,,Enho
Ppfia1,,32.66257592,9.338836431,Ppfia1,1700025G04Rik,0,0.081599292,Snap25,,Kcnip1
Col1a1,,32.55327203,3.759174408,Col1a1,1700028B04Rik,0.003172728,0.000964007,Atp1b1,,Gabrb2
Plekhb1,,32.49210084,10.07382106,Kcnj10,1700028J19Rik,0,0.000964009,Baiap2,,Msi2
Kcnj10,,32.4884314,10.70870204,Lrrc58,1700028K03Rik,0,0.00096401,Id3,,Qk
Lrrc58,,32.41389261,11.79410668,Plekhb1,1700028P14Rik,0,2.032909175,Beta-s,,Limd2
Lamp1,,32.3937056,4.90610393,Dbi,1700029I15Rik,0,0.000964009,Nrsn1,,Khdrbs1
Cdhr1,,32.33876864,25.42743699,Lamp1,1700029J07Rik,2.07E-06,0.000964067,Vamp2,,Rbm39
Dbi,,32.29390601,10.7804271,Cdhr1,1700030C10Rik,0,0.00096401,Cpne4,,Chsy3
Icam5,,32.23213672,7.523407018,Icam5,1700030J22Rik,0.064429783,0.367579038,Ptn,,Slc6a11
Tshz1,,32.01886707,9.634650961,Tshz1,1700030K09Rik,0.041401377,0.005393087,Ahnak,,Kcnd2
Slc7a11,,31.67789807,7.234500411,Slc7a11,1700034G24Rik,3.80E-07,0.000964011,Vim,,Ap2m1
Ctxn1,,31.27984614,12.43200518,Ctxn1,1700034H15Rik,0.063062402,0.198388891,Fmo1,,Celf3
B2m,,31.10009357,7.401844089,B2m,1700037C18Rik,0,0.00096401,Penk,,Edil3
Pbx1,,30.96676811,15.38019648,Pbx1,1700037H04Rik,0.00755517,0.000964009,Mest,,Prex1
