gene_gpc,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p_value,q_value,g_sde,LLR_sde
Tmem143,-210.3614322,-210.4332263,0.071794057,0.788742324,1,Znrf3,1.115164719
Emp2,-234.2263185,-234.2517557,0.025437234,0.873282406,1,Ndufa9,0.02763185
Mtrf1l,-239.1114041,-239.1586448,0.047240651,0.82793626,1,Mcts2,0.926279212
Cep85,-240.1135907,-240.1137267,0.000135999,0.990695379,1,Ciz1,0.076022715
Reps1,-311.1272881,-311.1272881,-8.68E-09,1,1,Etf1,0.465258348
Clpb,-185.2322815,-185.3878766,0.155595073,0.693244839,1,Rnf220,0.000964011
Ndp,-319.6502165,-319.6502146,-1.91E-06,1,1,Jakmip1,3.079345614
Ltbp1,-245.5339947,-245.5426875,0.008692825,0.925716613,1,Ttyh3,0.058703943
Cx3cr1,-210.2738596,-210.2818534,0.007993892,0.928757216,1,Ttl,0.60880806
Zfp292,-445.8949739,-446.7390292,0.844055312,0.358239519,1,Gnas,1.563446675
Col4a2,-317.5595552,-317.6062952,0.046739954,0.828836335,1,Cltb,0.193446106
Stk17b,-207.0665466,-207.075131,0.008584378,0.926180096,1,Ptms,0.940746368
Slitrk3,-128.7159291,-128.715929,-1.36E-07,1,1,Ifit2,0.469737147
Qsox2,-319.4141269,-319.4357884,0.021661418,0.88299138,1,Ahcyl1,0.031965369
Slc31a2,-154.8591579,-154.935803,0.07664512,0.781896399,1,Sep-15,0.049371363
Zfp719,-233.9986264,-234.0869348,0.088308394,0.766338798,1,Tmem59,0.010220202
5830417I10Rik,-270.32585,-270.3258497,-3.33E-07,1,1,Ncoa6,0.00126971
5730522E02Rik,-27.11284516,-27.11284794,2.78E-06,0.998669853,1,Uhrf1bp1l,0.493020975
Nup160,-257.5120176,-258.1133153,0.601297689,0.438083327,1,Fbxo28,7.744267419
Lgi1,-234.1234162,-234.1234251,8.92E-06,0.997616401,1,Rnaseh2c,0.158660736
Cpne2,-392.0685683,-392.0685631,-5.22E-06,1,1,Lgalsl,0.441001192
2900076A07Rik,-294.3083926,-294.318012,0.009619399,0.921869932,1,Zfp523,0.001992442
Ccne2,-193.3783459,-193.8063798,0.428033973,0.512955228,1,Usp47,0.02827765
Gmeb1,-238.2257519,-238.2600173,0.034265437,0.853143341,1,Mctp1,0.776790294
Wdr11,-461.8038971,-461.8435982,0.039701123,0.842066088,1,Zswim6,0.552061001
Ccdc174,-275.302143,-275.3056437,0.003500684,0.952819428,1,Bcl11a,2.493918715
Endov,-188.2689276,-188.2689332,5.68E-06,0.998099039,1,Spata2,0.391406063
Sh2d7,-224.9357198,-224.9357177,-2.04E-06,1,1,Trove2,0.402746382
Grn,-372.1716337,-372.1716426,8.92E-06,0.997616361,1,Txndc17,0.591159895
Pcyox1,-281.6062081,-282.157561,0.551352847,0.457765448,1,Caml,0.253388317
Arid5a,-217.1710237,-217.4754274,0.304403667,0.581134797,1,Ndufb6,0.130507603
Rimklb,-397.4553788,-397.6225733,0.167194524,0.682617254,1,Mras,0.161358111
Pnp,-384.1210515,-384.1305408,0.009489316,0.922398324,1,Pgm2,2.034738913
Pofut2,-406.2138449,-406.2138431,-1.75E-06,1,1,Apbb1,0.30522764
Med22,-431.4931863,-431.4932937,0.000107449,0.991729481,1,Dennd6a,1.341969207
Golga2,-369.8275655,-369.957186,0.129620493,0.71882585,1,Ndufb8,0.224549313
Stk4,-372.0840086,-372.1252691,0.041260467,0.839035982,1,Psmd1,0.116911764
Gjb2,-340.4651715,-340.8533291,0.388157544,0.533269468,1,Nipa1,2.228202263
Tchh,-187.0686746,-187.2241396,0.155465034,0.693366543,1,Shisa2,0.537526004
Hps5,-228.9551944,-228.9551928,-1.56E-06,1,1,Pnmal2,0.107569118
Tmem173,-101.2999616,-101.3148989,0.014937311,0.902726138,1,Cpne4,0.769109992
Cacnb1,-149.7911474,-149.7911468,-6.41E-07,1,1,Cenpc1,0.178285154
Ccdc34,-258.3125231,-258.7836759,0.471152777,0.492457315,1,Hspa4l,0.007973662
Lgals3bp,-432.9627278,-433.031222,0.068494181,0.793542001,1,Ubqln1,0.003727488
Fgfbp1,-175.7406047,-175.7426646,0.00205993,0.963799277,1,Myh10,0.079067105
Svil,-354.2010673,-354.2494432,0.048375857,0.825913893,1,Dhrs1,0.071548288
Cramp1l,-354.811712,-354.9342951,0.122583068,0.726249656,1,Rtca,0.373278923
D130043K22Rik,-27.80038582,-27.80038976,3.94E-06,0.998416762,1,Rps10,0.007000498
Hist3h2bb-ps,-82.94488291,-82.98655404,0.041671129,0.838247945,1,Alyref,0.035307782
Otud7a,-253.9552875,-253.9552862,-1.37E-06,1,1,Htr1f,0.036467889
Dbp,-90.94997883,-90.94997864,-1.93E-07,1,1,Dlgap3,3.645455915
Spock2,-167.6035517,-167.606165,0.002613331,0.959229304,1,Wdr7,0.010378971
Skp2,-164.449362,-164.4493601,-1.83E-06,1,1,Tsc22d1,0.059641555
Pip5k1b,-262.7505007,-262.7505,-6.88E-07,1,1,Yaf2,2.12178769
Mtfmt,-210.8159052,-211.2607322,0.444827009,0.504801818,1,Serinc1,0.003511409
Mro,-262.7236922,-262.7802269,0.056534736,0.812059223,1,Nsfl1c,0.077673601
Inhba,-152.6371115,-152.6371108,-7.04E-07,1,1,Sec24c,0.040762926
Bst2,-158.710978,-158.7110603,8.23E-05,0.99276177,1,Taf12,0.057729745
Cbfa2t3,-221.0111731,-221.5252319,0.514058882,0.473387056,1,Acot13,0.062475078
Clec3b,-76.87790961,-76.87791065,1.04E-06,0.99918581,1,Pdia6,0.691924479
Cdpf1,-248.7218012,-249.5292372,0.807436036,0.368879375,1,C330007P06Rik,2.043687754
Fntb,-312.3086088,-312.7427702,0.434161385,0.509954053,1,Btg1,0.005498674
Eml3,-192.5496493,-192.9176527,0.368003385,0.544094611,1,Ppme1,0.009024837
Trnau1ap,-259.5929869,-259.5929847,-2.25E-06,1,1,Tmem161a,1.745844738
Rfc2,-241.3051385,-241.3051377,-7.72E-07,1,1,Apoe,0.005431026
Ak4,-261.8211808,-262.0054845,0.184303637,0.667700555,1,Smc3,2.030620699
Alx4,-222.8899186,-223.4401962,0.550277658,0.458204265,1,Rcbtb2,0.217357411
Plk1s1,-250.9391959,-250.9431084,0.003912535,0.950124638,1,Ms4a15,0.00859326
Fbrs,-400.5449373,-400.5449363,-9.93E-07,1,1,Zkscan5,0.008496543
Sh2d3c,-227.7065725,-227.7089171,0.002344599,0.961380675,1,Sarnp,0.546934669
Mpdz,-374.9311882,-374.9311864,-1.81E-06,1,1,Ddx42,0.388278654
Lsm1,-344.0260029,-344.0264922,0.000489257,0.982352901,1,Ano1,0.434979094
Zfp35,-113.4196482,-113.4196474,-8.22E-07,1,1,Dennd5b,0.036040884
Pcyox1l,-82.79316827,-82.79316693,-1.35E-06,1,1,2610100L16Rik,0.632473207
Shisa4,-304.999222,-304.9992211,-8.91E-07,1,1,Nufip2,4.106778829
Tagln2,-258.1227229,-260.2830211,2.160298225,0.141617202,1,Mrpl39,0.092286868
1110054M08Rik,-207.7989078,-207.8208472,0.021939341,0.882248581,1,Pitpnb,1.940023188
Thap3,-310.2552107,-310.3933373,0.138126659,0.710150515,1,Cxx1b,0.679822983
Ptpn1,-486.4358823,-486.4747569,0.038874645,0.843697213,1,Cdc123,0.160672958
Mreg,-193.6248973,-193.6447111,0.019813878,0.88805814,1,Gorasp1,0.16349125
Tatdn3,-183.7722097,-183.8879066,0.11569685,0.733749296,1,Fbxl3,0.02812168
Tcerg1l,-270.1586125,-270.2301198,0.071507266,0.789154713,1,Mgst3,0.016962657
2610034B18Rik,-98.37801986,-98.45690322,0.078883352,0.778816399,1,2700029M09Rik,0.079842752
Lrrd1,-68.57120471,-68.64662192,0.075417215,0.783606701,1,Sema4g,0.187210572
Mut,-357.108282,-357.1142218,0.005939731,0.938568138,1,Dusp3,0.405732935
Alg6,-250.2073474,-251.6098356,1.402488275,0.236307396,1,Tesk1,0.040118085
Cnot10,-189.2067665,-189.2067659,-5.77E-07,1,1,Pde3b,0.180766185
Tmem231,-218.6704893,-218.7718309,0.101341594,0.750225571,1,Tmem136,2.197532721
Rfwd3,-365.3943886,-365.5017402,0.107351615,0.743179668,1,Slc4a10,0.014329303
Thnsl1,-278.598615,-278.7350743,0.136459297,0.711826635,1,St8sia3,1.240729897
Casp6,-237.3886436,-237.4561574,0.067513818,0.79499166,1,Dad1,0.721105564
Itpr2,-346.7564146,-347.1338933,0.377478699,0.538955692,1,Smad3,0.244562367
Pla2g5,-103.8379753,-103.9386066,0.100631307,0.751073352,1,Cap2,0.632295029
Zfp280b,-212.4153117,-212.4153113,-3.93E-07,1,1,Wdr37,0.808716648
Emx1,-123.4134424,-123.7829939,0.369551514,0.543248833,1,Aldh1l1,0.887200242
Dhdds,-369.5395793,-369.5539116,0.014332272,0.904706964,1,Atp6v1a,0.001698808
Immp2l,-127.4342803,-127.4342776,-2.73E-06,1,1,Mrpl40,0.002262117
Gm11549,-158.3551892,-158.4182939,0.063104727,0.801654427,1,Creb1,2.191093788
AI846148,-174.9116871,-174.950727,0.039039908,0.843369621,1,Uckl1,0.592946159
Fam76b,-380.3906632,-380.7231693,0.332506107,0.564187114,1,Appl1,0.937265985
Slitrk2,-404.9391817,-405.2399072,0.300725533,0.583427934,1,Mpc2,0.048633125
Tbc1d22b,-224.0239322,-224.9496549,0.925722683,0.335976855,1,C1qb,0.071001991
Sp2,-254.3867927,-254.3924236,0.005630855,0.940183665,1,Slc25a40,1.351355365
E2f3,-214.1456231,-214.1456215,-1.55E-06,1,1,Klf13,1.04793788
Rmdn2,-97.78902533,-97.78904185,1.65E-05,0.99675705,1,Hspa2,0.001103925
Ubap2,-370.3333414,-370.3392743,0.005932852,0.93860365,1,Sel1l3,0.002569907
Gja4,-146.1664065,-146.2909215,0.12451501,0.724188268,1,Rnf6,0.32867035
Aldh4a1,-204.9673383,-205.0000241,0.032685861,0.856530596,1,Igsf3,0.019538393
Ift172,-292.7260463,-292.8136141,0.087567793,0.767292279,1,Eif3f,0.009858926
C030016D13Rik,-20.21567911,-20.21568084,1.73E-06,0.9989494,1,Egr1,0.529935984
Hspb1,-236.3235187,-236.3235187,-5.68E-08,1,1,Zfp239,1.838776956
Uggt2,-237.3527612,-237.3527617,4.72E-07,0.999451703,1,Vps16,0.209561471
Acsl5,-289.3413769,-289.3413802,3.28E-06,0.998555847,1,Epb4.9,0.520327452
Lysmd4,-289.1362795,-289.191947,0.055667522,0.813479494,1,Usp11,0.062152835
Rab3il1,-139.015015,-139.0150142,-8.33E-07,1,1,Ptgr2,0.005970789
Eya2,-201.806938,-201.8069388,8.85E-07,0.999249487,1,Slc30a3,2.804452616
Wdr59,-204.5176599,-204.5519157,0.034255825,0.853163706,1,Pced1a,0.220519531
Rgl3,-61.14315843,-61.14315737,-1.06E-06,1,1,Rasa2,0.90000082
Tcp1,-345.4141878,-345.4142451,5.73E-05,0.993957722,1,Rab5a,0.125156323
Dtd2,-151.1043321,-151.1590908,0.054758707,0.814980488,1,Igsf8,0.318754787
Tnc,-172.0074085,-172.0074069,-1.57E-06,1,1,Ccng2,0.001012607
Gpx8,-358.4845951,-358.4845913,-3.83E-06,1,1,Tnip1,0.009353091
Rap2b,-461.6121317,-463.0338385,1.421706736,0.233122687,1,Fbxw5,0.037555896
Prokr2,-229.7637881,-230.4569603,0.693172213,0.405087485,1,Gpx6,0.997691991
2210016F16Rik,-259.6481117,-259.9699902,0.32187856,0.57048088,1,Helq,0.621752163
Mpg,-192.3094749,-192.5930487,0.283573803,0.59436833,1,Dhx9,0.001334505
Tsr1,-346.4717151,-346.4801805,0.008465373,0.926692113,1,Cisd2,0.040162166
1110032F04Rik,-220.7032764,-220.703327,5.06E-05,0.99432483,1,Ppp1r13b,0.216568029
Rhbdd2,-355.6041148,-355.6207372,0.016622411,0.897414676,1,Amz2,0.424066891
Ppic,-145.9785034,-146.3850606,0.406557179,0.523722138,1,Hectd1,0.050029596
Galns,-49.08651031,-49.11201441,0.025504096,0.873117385,1,Fam174a,0.054143553
Pld2,-289.6971613,-289.7357699,0.038608516,0.844226268,1,Pttg1ip,0.00096401
Kcng4,-99.0673378,-99.10534652,0.03800872,0.84542563,1,Lpar1,0.056982205
Tlr12,-20.15836304,-21.20381324,1.045450204,0.306557278,1,Wbp5,0.005893717
Smc6,-423.3559153,-423.3559118,-3.50E-06,1,1,Syt7,2.70965469
Hemk1,-193.7301477,-193.7599865,0.029838758,0.862856597,1,Tmem9,0.01214934
Myrf,-247.7812325,-247.7819811,0.000748602,0.978172129,1,Gfpt2,0.261944183
Dopey1,-176.1149579,-176.1149576,-3.09E-07,1,1,Astn2,3.294835336
Pik3cg,-53.17695157,-53.1769515,-6.65E-08,1,1,Aldh6a1,1.952662986
Islr,-590.2725322,-590.4897826,0.217250417,0.641142997,1,Kin,0.004751811
Maob,-294.1917883,-295.1177992,0.926010892,0.335901642,1,Samd8,1.615954125
Kctd18,-237.5376317,-237.5617286,0.024096974,0.876638421,1,R3hdm1,0.842893384
Tma16,-81.35271608,-81.3527158,-2.84E-07,1,1,Sp9,0.002906944
Ubtd1,-296.1151139,-296.1760598,0.06094588,0.805007137,1,Trp53bp2,0.555847457
Tmem204,-218.859505,-218.9572225,0.097717499,0.754586111,1,Acadvl,0.00105569
Csl,-67.12435975,-67.81394115,0.689581406,0.406306797,1,Csgalnact1,0.527530143
Brcc3,-241.6066574,-241.6133022,0.006644738,0.935032188,1,Ndufb5,0.652439352
Selenbp1,-182.1471789,-182.1471783,-5.82E-07,1,1,Rps6kb1,0.144366633
Prim1,-155.8712222,-155.8712222,2.66E-08,0.999869885,1,Atp6ap2,0.480091822
Dpy19l3,-266.6977949,-266.7134922,0.015697244,0.900295042,1,Kank3,0.590070932
Derl2,-301.0098672,-301.0121095,0.002242279,0.962232118,1,Fdps,0.261767192
Tap2,-114.2648036,-114.9951799,0.730376248,0.392761259,1,Set,1.657741342
Gtf2f2,-304.9109236,-305.8925726,0.981649049,0.321792021,1,Gm2a,0.002915239
Rai14,-281.495913,-281.7323554,0.236442444,0.62678746,1,Sorl1,0.175950788
Dhx33,-382.9031027,-382.9031018,-8.46E-07,1,1,Mfn2,0.12538809
Aptx,-360.7130252,-361.7127794,0.999754115,0.317370012,1,Pnpla8,0.001003773
Bcdin3d,-126.0419709,-127.8877375,1.845766548,0.174276574,1,Ahsa1,0.47178327
Slc39a11,-174.3671854,-174.3671822,-3.29E-06,1,1,Hes5,0.196229409
Lrrc33,-143.5472968,-144.8181134,1.270816562,0.259613549,1,Abcg1,2.438068533
Lpcat4,-252.5649209,-252.5649197,-1.29E-06,1,1,Dyrk1a,0.884176319
Chac2,-280.6428345,-280.6775793,0.034744772,0.852131488,1,Rps17,0.001847515
Chrm4,-223.7647789,-224.245546,0.480767052,0.488075079,1,Fxyd7,0.041391098
Llgl1,-336.2381845,-336.2396215,0.001437011,0.969761097,1,Srsf7,0.094692294
Chmp1b,-388.328928,-389.7845616,1.455633582,0.227626143,1,Rwdd2b,0.164743777
Cxxc5,-634.086861,-634.0868562,-4.79E-06,1,1,Capza2,0.013036897
Lima1,-312.2323754,-312.2349588,0.002583389,0.959463336,1,Adcyap1r1,0.301437264
Rasip1,-178.1282341,-178.1392034,0.010969243,0.916586759,1,Sypl,0.192027599
Aff3,-325.1218854,-325.1543138,0.032428431,0.857090581,1,Celf1,1.294563455
Nt5c3b,-228.5479074,-228.5551866,0.007279177,0.932008507,1,Parp9,0.761351144
Hps3,-171.6655032,-171.6654969,-6.33E-06,1,1,Ruvbl2,0.490536959
Elmsan1,-213.351314,-213.3581483,0.006834366,0.934113762,1,Usp25,0.000964011
Abcb4,-91.17187956,-91.29616404,0.124284481,0.724433295,1,Brap,0.418635939
Rab23,-407.9451374,-407.9558679,0.010730572,0.917495933,1,Mmp24,0.015851605
Lpin1,-360.1794426,-360.179441,-1.64E-06,1,1,Dnajb5,0.767812757
Kti12,-290.6796023,-290.6795999,-2.36E-06,1,1,Sorbs1,0.285234021
Sh3bp5l,-385.8522426,-387.6677245,1.815481841,0.177852028,1,Lynx1,0.635521168
Gtf2e2,-306.1265092,-306.1448115,0.018302277,0.892385826,1,Rpl3,0.249821148
Tmbim1,-329.8522002,-329.8521985,-1.73E-06,1,1,Mrpl49,1.808116842
Alg5,-260.7947719,-260.9120061,0.117234133,0.732053874,1,Man2a2,2.85230952
Zfp101,-190.9366142,-191.2506891,0.314074933,0.575190342,1,2810407C02Rik,0.330005872
Prdm15,-269.3104762,-269.3104748,-1.41E-06,1,1,Icam5,0.497153716
Cldn26,-37.13110183,-38.24489815,1.113796319,0.291258199,1,Tspan33,3.250369458
Chfr,-370.6720196,-370.8991646,0.227144952,0.633648932,1,Slc39a12,0.007114397
Atxn7l2,-208.0402198,-208.0402213,1.47E-06,0.999033505,1,Ckap4,0.122307548
Ccnjl,-23.8195023,-23.81949946,-2.85E-06,1,1,Tmem18,0.197181723
Ppp1r12a,-178.0178782,-178.0408028,0.0229246,0.879653311,1,Fads1,0.072152182
Cnep1r1,-419.8509626,-420.4565599,0.605597255,0.436450354,1,Nsd1,0.007810903
Col11a1,-401.8326159,-403.6677232,1.835107258,0.175525491,1,Lgmn,0.004406991
Ccdc104,-391.0731712,-391.0731689,-2.33E-06,1,1,Dchs1,0.491107357
Wdr77,-406.6045192,-406.604517,-2.23E-06,1,1,Srek1,1.81468725
Cdc42ep2,-183.4030704,-183.6827767,0.279706363,0.596893741,1,Ppm1e,1.846915902
Zfp1,-254.9935933,-257.0922382,2.098644984,0.147429742,1,Mll2,1.527890794
Tmem150c,-170.129131,-170.9881993,0.85906827,0.353999561,1,Ap1g1,0.334204933
Wdr54,-165.2239022,-165.2239004,-1.75E-06,1,1,6430548M08Rik,0.942139604
C130036L24Rik,-59.54887708,-59.5488762,-8.77E-07,1,1,BC005764,0.694965891
Ace,-132.6901095,-134.001749,1.311639422,0.252098043,1,Nmnat2,0.140323935
Oca2,-20.41142732,-20.41126719,-0.000160128,1,1,Pik3r3,0.052841102
Lama1,-97.26162473,-97.27756267,0.015937941,0.899537549,1,Terf2,0.044238457
Snapc3,-249.9991137,-251.3952361,1.396122379,0.237373891,1,Cct7,0.001072417
Wdr86,-24.5492196,-24.54911135,-0.000108258,1,1,Hepacam,0.145223977
Ezh2,-251.4426244,-251.5632967,0.120672356,0.728306406,1,Chrm1,6.64123914
Klhdc4,-292.4897609,-292.6738634,0.184102535,0.667871037,1,Chst10,0.310145029
Katnbl1,-347.4777636,-347.4941066,0.016342949,0.898275955,1,Prdx4,0.630885757
Gna13,-417.6666106,-417.7983744,0.131763831,0.716610203,1,Mid2,0.009529546
Lcmt2,-164.9737999,-164.9738548,5.49E-05,0.994089169,1,Lpin2,1.563499096
Atic,-328.1387363,-328.139193,0.000456638,0.982951238,1,Eid1,0.378338028
Vasn,-166.2924485,-166.3138408,0.021392249,0.883715437,1,Pet100,0.639952648
Tmem115,-379.3503474,-379.6090222,0.258674739,0.611032092,1,Med23,0.06793262
Fam110c,-70.37563271,-70.37703481,0.001402102,0.970130469,1,Abhd8,0.050549753
Zbtb10,-292.3883965,-292.5252238,0.136827278,0.711455724,1,Tceal8,0.129625121
Cda,-75.29998167,-75.33652268,0.036541016,0.848402555,1,Uimc1,0.432510096
Chd7,-324.613297,-324.7463196,0.133022562,0.7153185,1,Zscan26,0.001332176
Dcbld2,-406.2881734,-406.6262873,0.338113974,0.5609199,1,Snip1,0.12139473
Atf1,-295.9347684,-295.9347677,-6.99E-07,1,1,Inpp5j,0.197610659
Prpf40a,-251.2218868,-251.2218858,-9.93E-07,1,1,Fgfr2,0.009176672
Abl1,-385.2413435,-385.2711697,0.029826157,0.86288527,1,Crk,0.02511009
Ccdc102a,-124.6961025,-124.699517,0.003414481,0.953403282,1,Zswim8,0.031359493
Arhgap22,-265.1631515,-265.1631513,-2.07E-07,1,1,D10Wsu52e,0.131507721
Magi3,-347.1748698,-347.5755069,0.400637101,0.526760415,1,Vegfb,0.523810195
Wdr19,-244.7472315,-244.7539448,0.006713292,0.934698657,1,Tmem189,0.332953802
Garnl3,-238.2613727,-238.2640456,0.002672878,0.958767831,1,Dlgap1,2.819612338
Gm8096,-21.18823688,-21.1977872,0.009550319,0.922150082,1,Mapk8,0.235009288
Slc20a2,-346.081541,-346.0837592,0.00221826,0.962434794,1,Rims2,0.035061281
Bex4,-429.7907231,-431.5829016,1.792178589,0.180660949,1,Ankrd17,0.053327191
Zfp941,-182.841114,-182.8411127,-1.28E-06,1,1,1810022K09Rik,0.04089262
Zfyve21,-233.4654287,-233.4827946,0.017365869,0.895158606,1,Taf1b,0.050053849
Gt(ROSA)26Sor,-30.88362972,-30.8839308,0.000301086,0.986155932,1,Rnf19a,0.0011579
Pgap3,-186.2072128,-186.3431606,0.135947777,0.712343174,1,Ssna1,0.300922017
Eng,-309.2963695,-309.2963669,-2.52E-06,1,1,Fam65a,0.947761293
Bysl,-262.050918,-262.0509176,-3.35E-07,1,1,Gprasp1,1.435238083
Vps13c,-135.3061469,-135.3819116,0.075764772,0.783121092,1,Polr2h,2.375158736
Cish,-275.7571502,-275.8265268,0.069376586,0.792246642,1,Smek2,1.768658728
Traip,-156.5179654,-156.9905278,0.472562377,0.491810711,1,4932438A13Rik,2.36321311
2010320M18Rik,-88.61630044,-88.95032032,0.334019875,0.563301573,1,Plekha2,0.031102704
Ptrh1,-87.69016244,-87.69036869,0.000206257,0.988541468,1,Eif4enif1,0.475633145
Lat,-65.48694111,-65.48694062,-4.93E-07,1,1,Slc7a8,0.105372425
Fam58b,-308.1748703,-308.6960534,0.521183106,0.470337439,1,Ctage5,1.026644842
Epb4.1l5,-253.6253173,-253.91598,0.290662644,0.589796205,1,Tacc2,0.271537665
Mrpl21,-56.00021575,-56.00021604,2.90E-07,0.999570324,1,Gabra5,0.070281973
Gm10638,-52.56381835,-52.56384609,2.77E-05,0.995797922,1,Rpl18,1.101593961
Scyl2,-87.87568463,-87.87569397,9.34E-06,0.997561203,1,Ncbp1,0.694753805
Eral1,-184.7227044,-184.7245341,0.001829712,0.965880784,1,Sbf1,2.069353218
Slc35g2,-315.9878306,-315.9878366,5.93E-06,0.998056704,1,Thap11,0.488912777
Lrsam1,-223.9570621,-223.9796337,0.022571624,0.880576408,1,Atp1a3,1.17533498
Zfp59,-28.47791738,-28.48194252,0.004025135,0.949412989,1,Rit2,0.688449946
Ppih,-220.1427444,-220.1427414,-3.01E-06,1,1,Slc35e2,0.890611582
Zfp280d,-438.0802867,-438.4541545,0.373867751,0.540903524,1,Nudt21,1.841891091
Cdadc1,-361.5362934,-363.1471304,1.610836959,0.204374191,1,Lpar6,0.084711964
Ralgps1,-32.36917071,-32.37630826,0.007137547,0.932671618,1,Ext1,0.938544566
Nup133,-339.3569604,-339.8093589,0.452398502,0.501198139,1,Gphn,0.034977381
Thoc6,-63.348228,-63.34823999,1.20E-05,0.997237165,1,Prpsap2,0.055367616
Stxbp3a,-388.3115781,-388.3115779,-2.21E-07,1,1,Trps1,0.370999542
Ccdc9,-289.8267792,-290.0846634,0.257884181,0.611577491,1,Astn1,1.81425468
Shoc2,-408.2068502,-408.3165817,0.109731446,0.740450089,1,Ranbp2,0.032451012
Fam105a,-196.6039398,-197.1824094,0.578469594,0.446912817,1,Commd8,0.014096405
Sp4,-396.2046063,-396.3366321,0.132025844,0.716340753,1,Eepd1,0.499910146
Dctpp1,-254.5037641,-254.5122105,0.008446326,0.926774397,1,Enpp2,0.006007395
C230081A13Rik,-203.21367,-203.3786202,0.164950151,0.684639328,1,Rfx3,2.821600029
Wdr81,-259.5867649,-259.9835228,0.396757899,0.528768381,1,Cherp,0.701900889
P2rx7,-125.4422719,-125.442272,8.39E-08,0.999768871,1,Cope,0.09872102
Pfn4,-51.4776485,-51.48302945,0.005380948,0.94152367,1,Dynlt1a,0.680454742
Ncam2,-253.7562288,-254.056459,0.300230212,0.583738135,1,Ndufb4,1.199169338
Mcm6,-222.1079597,-222.1408132,0.032853443,0.856167279,1,Eif3m,1.723180721
Acrbp,-262.5977708,-262.7975391,0.199768307,0.654907927,1,Rasgrp4,1.872286921
Tcea2,-209.7075972,-209.7332286,0.025631332,0.87280397,1,Dmxl2,0.064351576
Ptrh2,-352.4549844,-353.8882224,1.433238021,0.231236718,1,0610011F06Rik,1.274886969
BC026590,-237.8900118,-237.8900111,-7.41E-07,1,1,Ercc5,0.152208883
Fbln2,-267.485612,-268.2853706,0.799758696,0.371165525,1,Zfp445,0.014517218
G530011O06Rik,-44.02422134,-44.05234255,0.028121201,0.866824195,1,Asxl2,2.756075122
Raver1-fdx1l,-126.2506836,-126.2510292,0.000345653,0.98516678,1,Slk,0.543065069
Mapk12,-118.7509099,-118.7664353,0.015525469,0.900839247,1,Dusp14,0.184611414
Adamts3,-222.0550974,-222.2153429,0.160245455,0.688930633,1,Atox1,0.000964011
Nsdhl,-318.1307688,-318.1521517,0.02138287,0.883740748,1,Jam3,0.124798224
Fam212b,-284.0381976,-286.9137499,2.875552343,0.089934113,1,Hexim1,0.003331863
Tbx3,-79.36420774,-79.36462437,0.000416633,0.983715042,1,0610037L13Rik,0.8381976
Fastkd3,-234.6545245,-234.6545172,-7.31E-06,1,1,Idh3a,0.073777512
Lgi2,-131.9045022,-132.4954327,0.590930479,0.442059534,1,E330033B04Rik,0.035193823
Actl6a,-393.195024,-396.2745762,3.079552265,0.079282349,1,Phpt1,1.250285271
Pop1,-191.4060994,-191.4060993,-1.07E-07,1,1,Jarid2,0.334460888
Ppan,-289.0547918,-289.0547924,6.08E-07,0.999377869,1,Zfp26,0.670337521
Gucy2g,-165.5586075,-167.1530843,1.594476839,0.206687683,1,Ppp2r5e,0.980587702
Col6a2,-129.0767605,-129.0767606,7.03E-08,0.999788488,1,Strip2,0.011530941
Tmem100,-336.0251989,-337.6243525,1.599153583,0.206023202,1,Wbp2,0.012582184
Ankrd11,-301.7216502,-301.7217093,5.91E-05,0.993865286,1,Apitd1,0.014703677
Ddx59,-163.5915484,-163.6711866,0.07963816,0.777788365,1,Capza1,0.007182918
Tbc1d2,-67.58181802,-67.58291129,0.001093264,0.973623118,1,Mvb12a,0.050826627
1700066M21Rik,-302.4821392,-302.4821396,4.21E-07,0.999482288,1,Mrpl17,0.022703141
Npas3,-309.0091716,-309.0111461,0.001974503,0.964557361,1,Ndufaf1,2.529178479
Sac3d1,-338.5535447,-338.5535453,6.13E-07,0.999375199,1,Mblac2,1.11147975
Actr6,-367.1529771,-367.6105776,0.45760043,0.498747556,1,Rbm5,1.307469393
Zfp946,-121.0356643,-121.0356637,-5.94E-07,1,1,Rasl11b,1.666549347
Myrip,-214.4536708,-214.4536695,-1.36E-06,1,1,Zxdb,1.012585031
Ptger3,-74.68539585,-74.68540528,9.43E-06,0.997550371,1,Scd1,0.003344917
Tfap2b,-107.958268,-108.0431127,0.084844735,0.770836267,1,Trim28,0.564031982
Ccdc84,-47.02536019,-47.02517989,-0.000180297,1,1,Elavl4,2.275752693
Pafah2,-152.5612889,-152.8747173,0.313428431,0.575583944,1,Ift46,0.001356226
Sypl2,-75.13418123,-75.1341806,-6.30E-07,1,1,Cul4b,0.266187242
Slc12a9,-285.5506927,-286.8729933,1.322300559,0.250179589,1,Atg14,1.358158831
Cbx1,-71.02612429,-71.02612354,-7.50E-07,1,1,Fam178a,0.039964157
Gal3st1,-254.646645,-254.6575865,0.010941501,0.916691921,1,Snx17,0.56064378
Ephb6,-178.9139046,-179.4610812,0.547176564,0.459473649,1,Ablim3,0.588713917
Zfp933,-225.8148705,-225.8148713,7.29E-07,0.999318652,1,Zfr,0.09299277
Exoc3l4,-76.91455119,-76.91455022,-9.73E-07,1,1,Ckap5,1.661128322
