gene_gpc,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p_value,q_value,g_sde,LLR_sde
Jsrp1,-73.04607461,-73.04608751,1.29E-05,0.997134731,1,Fam19a2,0.00322163
Yod1,-65.74662213,-65.75730783,0.010685695,0.917668025,1,Banf1,0.013960296
Tas1r3,-25.33209611,-25.3914991,0.059402985,0.807442047,1,2610034M16Rik,0.573878976
Mesp2,-28.51931584,-28.67605131,0.156735473,0.692180047,1,Bmpr1a,0.124118799
Ces1d,-40.99403914,-40.99403911,-2.47E-08,1,1,Dda1,0.002100567
Slc25a41,-26.76564726,-27.0762306,0.310583338,0.577322446,1,Snx10,0.803630706
2010015L04Rik,-39.10125615,-39.10125608,-6.22E-08,1,1,Dlg3,0.287617867
Mks1,-43.02198996,-43.0219902,2.38E-07,0.999610981,1,Mfap3,1.373082867
Ankrd49,-84.39941681,-84.41671323,0.017296411,0.895367274,1,D3Bwg0562e,0.023945969
Oas2,-8.64020326,-8.64020328,1.98E-08,0.999887628,1,Rnaset2b,0.863852183
Adamts17,-63.74751549,-63.88264196,0.135126469,0.713174853,1,Ptgdr,0.045093259
Gm11744,-92.90191289,-93.39331313,0.49140024,0.483303353,1,Tmem14c,0.376452157
AA415398,-76.89915783,-76.89915771,-1.16E-07,1,1,Eef1e1,0.001631883
Elf2,-115.5392533,-115.5402305,0.000977194,0.975062112,1,Katnb1,0.001333383
Morn5,-42.66590119,-42.66570057,-0.000200627,1,1,Timm50,0.578182571
Psg16,-18.53709025,-18.5370981,7.85E-06,0.997764009,1,Map2k7,0.005394863
Mr1,-44.56316566,-44.62090071,0.05773505,0.810112276,1,Psap,0.378411908
Wasf2,-110.6739031,-111.1111526,0.437249426,0.508453037,1,Lyrm4,0.081724713
Eif3j2,-24.61479739,-24.6412006,0.026403214,0.870919484,1,Dlx5,1.104482108
Lgals7,-15.76264348,-15.76253588,-0.000107593,1,1,Arid2,0.021007083
Arhgef5,-71.50770692,-71.5764012,0.06869428,0.793247479,1,Gpn3,0.035326846
Tmem132e,-76.44863367,-76.44863662,2.95E-06,0.998630406,1,R3hdm2,3.885561919
Gpr179,-38.79813641,-38.79813582,-5.81E-07,1,1,Trpm7,0.204780498
Npb,-37.94998242,-37.94998199,-4.33E-07,1,1,Lmbr1,0.00096401
Nr3c2,-61.49281785,-61.49281761,-2.42E-07,1,1,Meg3,0.169757217
Fam175a,-118.6117696,-118.6506572,0.038887675,0.843671358,1,Cfl1,0.064928563
4931414P19Rik,-32.3005472,-32.30054709,-1.17E-07,1,1,Txnl4a,0.132041898
Kctd11,-72.89022107,-72.89022903,7.95E-06,0.997749677,1,Lhfpl3,0.136153085
1700065J18Rik,-46.32354365,-46.32354337,-2.74E-07,1,1,Sec61a2,0.001129446
Elfn2,-63.0716105,-63.07162098,1.05E-05,0.997416926,1,Gabrg2,0.010927713
Gfra1,-70.63738462,-70.63738378,-8.44E-07,1,1,Pde7a,0.257675285
4930451G09Rik,-38.02141238,-38.37007247,0.348660093,0.554872601,1,Ank1,1.975120587
Tnfrsf9,-26.68341812,-26.68409749,0.000679364,0.979205808,1,Ralgds,0.36347719
Tekt1,-63.21286822,-63.21286776,-4.60E-07,1,1,Kpna3,0.040264224
Olfr920,-46.15359978,-46.15359935,-4.31E-07,1,1,Akap10,0.702861462
A930006K02Rik,-14.79472692,-14.79472706,1.47E-07,0.99969417,1,Fhit,0.013062713
Pgm5,-114.1166373,-114.1166363,-9.52E-07,1,1,Cbfb,0.326280864
Ccdc142,-28.14787328,-28.14787295,-3.32E-07,1,1,Bambi,0.049829267
Gh,-97.00000213,-97.21164295,0.211640826,0.64548437,1,Ly6h,0.054796887
Cenpp,-70.55720365,-70.55721262,8.97E-06,0.997610079,1,Elavl3,0.026789718
Obsl1,-111.6032996,-111.6900188,0.086719246,0.768390138,1,Spata13,0.004299094
Susd5,-83.70679934,-83.70680038,1.04E-06,0.999186869,1,Lrp1b,0.226302228
Spon2,-22.42217464,-22.42217318,-1.46E-06,1,1,Ocrl,0.098630667
Tbx2,-106.5701337,-106.6501231,0.079989368,0.777311819,1,Cacna1d,0.143536479
Spata1,-84.73577253,-84.73577324,7.10E-07,0.999327606,1,Dlx2,0.059701858
