,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,,pval,q value,BIC_periodic,BIC_linear,BIC_rbf
Timm44,-439.8802575,-442.6837412,2.803483687,1.859821135,,0.094059736,0.950118684,907.6102085,902.049526,902.0032415
Rspo3,-407.381388,-408.6979157,1.316527699,0.853238669,,0.251216172,1,839.6385614,834.077875,837.0055025
Pskh1,-151.0568238,-151.1180828,0.061258979,1.015165526,,0.804517026,1,324.4788945,318.918213,324.3563741
Timm10,-460.9659719,-461.1733108,0.207338838,2.63526683,,0.648861239,1,944.5893491,939.028667,944.1746703
Frzb,-675.7549841,-734.4868041,58.73182009,1.647960504,,1.81E-14,1.03E-11,1491.216128,1485.65544,1373.752695
Rapgefl1,-517.305204,-519.2151993,1.90999532,8.505520227,,0.166963778,1,1060.673122,1055.11252,1056.853135
Cxcl14,-597.7265092,-598.1709639,0.444454744,0.00064823,,0.50498014,1,1218.584638,1213.02396,1217.695745
Synj2bp,-503.783113,-503.7831071,-5.94E-06,0.197966807,,1,1,1029.808942,1024.24826,1029.808953
Srgap2,-460.5987126,-463.8534418,3.254729222,1.314136262,,0.071217699,0.802901205,949.9496078,944.388926,943.4401517
Ccdc30,-167.8066067,-167.8066065,-1.99E-07,1.386232865,,1,1,357.8559395,352.800475,357.8559399
Cep97,-318.7069831,-318.7069828,-2.14E-07,0.009865914,,1,1,659.6566919,654.096011,659.6566927
Tnpo3,-474.8694157,-474.869413,-2.73E-06,0.277491626,,1,1,971.9815525,966.420871,971.9815579
B3gat2,-375.922134,-376.5115489,0.589414827,0.484418518,,0.442645491,1,775.2658225,769.705141,774.0869945
2900097C17Rik,-997.0123879,-1018.111778,21.09939015,0.734507195,,4.36E-06,0.000317623,2058.467359,2052.90667,2016.267502
Ccnl2,-584.0527552,-584.3546677,0.301912449,0.000141499,,0.582685964,1,1190.952061,1185.39138,1190.348237
Gabpa,-391.0751354,-391.276735,0.201599567,4.780054938,,0.653432808,1,804.7961973,799.235517,804.3929973
Hspa5,-804.9693472,-805.1586625,0.189315323,1.368766835,,0.66348708,1,1642.264211,1636.70361,1632.181421
Svip,-502.2046576,-502.8591775,0.654519902,3.007724399,,0.418501317,1,1027.961087,1022.40041,1026.652042
Itm2c,-916.9114107,-922.9138224,6.002411765,1.041478075,,0.014286336,0.271906229,1868.070364,1862.50968,1856.065548
Cic,-638.8785556,-639.9861189,1.107563241,0.896979585,,0.29261226,1,1302.214957,1296.65433,1299.999838
Dnajc8,-574.7653664,-574.9282307,0.162864351,0.646138196,,0.686532954,1,1172.099361,1166.53851,1171.773459
Atxn2,-547.4538945,-547.4704457,0.016551221,0.527255006,,0.897633374,1,1117.18362,1111.62294,1117.150516
Susd3,-74.18001976,-74.18001978,1.95E-08,0.001947507,,0.999888528,1,170.6027652,165.042084,170.602766
Luc7l2,-691.6227497,-691.6505458,0.02779611,1.467188563,,0.867589067,1,1405.543818,1399.98314,1405.488226
Pi4ka,-654.8065356,-658.5616992,3.755163673,1.363183083,,0.052644641,0.665921561,1339.366121,1333.80543,1331.855798
Exoc7,-407.6561241,-407.7912694,0.135145316,0.08155065,,0.713155736,1,837.8252769,832.264585,837.5549747
Rnf11,-573.4012745,-573.8269527,0.425678237,0.595488656,,0.514117227,1,1169.89663,1164.33595,1169.045276
Lrba,-544.8263129,-545.6347125,0.808399617,0.960272146,,0.368593828,1,1113.512154,1107.95147,1111.895352
Eef1a2,-809.9703814,-822.6316826,12.6613012,2.091858807,,0.000373302,0.014991619,1667.506529,1661.94591,1642.183489
Trim9,-835.3010182,-846.788832,11.48781381,2.177950729,,0.00070054,0.02466664,1715.820388,1719.91354,1692.844763
Asic1,-380.9354467,-380.9354492,2.52E-06,0.004301508,,0.998732777,1,784.113626,778.552944,784.1136199
Strn3,-596.6854779,-596.820961,0.135483074,1.079464166,,0.712813394,1,1215.884792,1210.32397,1215.613682
Zfp804a,-397.0332476,-400.8610896,3.827842031,1.102797842,,0.050407793,0.647732572,823.9649059,818.404224,816.3092217
Cited2,-706.4582385,-706.4691269,0.010888372,2.999094586,,0.916893695,1,1435.180983,1429.6203,1435.159204
6330403K07Rik,-894.4268859,-908.7858417,14.35895572,0.758859166,,0.000151059,0.006750094,1839.817281,1834.25678,1811.096498
Cbln4,-410.3661603,-415.7670976,5.40093732,1.039312431,,0.02012594,0.336031079,853.7769211,848.21624,842.9750471
Nt5m,-409.8014856,-410.052173,0.25068739,1.347290411,,0.61659148,1,842.3470725,836.786391,841.8456977
Mpped2,-465.7821335,-465.782122,-1.15E-05,0.000984153,,1,1,953.8069705,948.246289,953.8069935
Map1a,-846.5604771,-856.2587366,9.698259524,1.244628549,,0.001844426,0.05503279,1734.760201,1729.19953,1715.363681
Ap3d1,-620.8994323,-620.8994293,-3.04E-06,0.00168637,,1,1,1264.041614,1258.48091,1264.041591
Klhl9,-663.4980429,-664.3929611,0.894918192,0.611723818,,0.344147995,1,1351.028649,1345.46797,1349.238812
Lace1,-216.1578997,-216.157978,7.83E-05,1.84156187,,0.992942044,1,454.5586835,448.998002,454.5585259
Trpc3,-286.2629784,-286.3470875,0.084109048,1.429599666,,0.771804303,1,594.9369083,589.376219,594.7686833
Eef2,-878.5987198,-883.871906,5.273186151,1.847308714,,0.02165634,0.352069533,1789.986528,1784.42586,1779.440166
Chn1,-648.7360752,-649.7253514,0.989276179,1.326407506,,0.319919347,1,1321.693433,1316.13275,1319.714877
Tmem40,-169.3846826,-172.2903162,2.905633582,1.528302686,,0.088270561,0.919605794,366.8233526,361.262671,361.0120917
Mll5,-509.3415258,-512.6908733,3.349347542,1.04557359,,0.067231657,0.773815018,1047.624476,1042.06379,1040.925778
Zfp354c,-520.807854,-520.8078522,-1.78E-06,0.002067324,,1,1,1063.858431,1058.29775,1063.858435
Hapln1,-455.1699907,-461.6830718,6.513081064,1.145761081,,0.010708381,0.222162268,945.6088674,940.048187,932.5827079
Vegfa,-466.514566,-469.18644,2.671874044,1.572862645,,0.102135694,0.991950933,960.6154932,955.05482,955.2718585
2410006H16Rik,-422.1254439,-422.1254388,-5.13E-06,4.71E-05,,1,1,866.4936006,860.93292,866.4936143
Snx12,-427.5399469,-427.8743932,0.334446355,0.161775558,,0.563052569,1,877.9915391,872.430856,877.3226203
E330013P04Rik,-23.85590767,-24.30603397,0.450126299,11.59596978,,0.502274983,1,70.85479683,65.2941189,69.95454186
Ptbp2,-639.272889,-639.4564014,0.183512481,1.751737679,,0.668371887,1,1301.155529,1295.59486,1300.788505
Bckdhb,-355.6315402,-356.1926154,0.561075197,1.888095033,,0.453827353,1,734.6279564,729.067275,733.5058069
C1qbp,-545.8138613,-548.7318039,2.917942634,1.378228908,,0.087599489,0.915193074,1119.706326,1114.14564,1113.870449
Tmem33,-653.06885,-653.7805716,0.71172157,0.72870181,,0.398872884,1,1329.803811,1324.24313,1328.380427
Nfasc,-530.6778716,-531.6616394,0.983767725,0.457648264,,0.321270383,1,1085.566007,1080.00537,1083.59847
Ints1,-443.806305,-445.2956707,1.489365748,1.054192089,,0.222314894,1,912.8340094,907.273439,909.8553365
Arntl,-351.7779187,-352.7679333,0.990014587,1.004895941,,0.319738809,1,727.7786099,722.217929,725.7985639
AI593442,-469.2180269,-486.7232033,17.50517635,1.93919672,,2.87E-05,0.001663085,995.6891349,990.128453,960.6787803
Ciapin1,-295.3236811,-295.3236791,-1.99E-06,2.31825172,,1,1,612.8900875,607.329402,612.8900887
Pithd1,-457.515942,-462.1020475,4.586105521,0.869562767,,0.032232172,0.458482754,946.4468426,940.886165,937.2746105
Mtor,-655.1535613,-655.2052365,0.051675285,0.761560235,,0.820173379,1,1332.653213,1327.09252,1332.549849
Tmem97,-193.5569796,-193.5647942,0.00781457,0.461830408,,0.929558718,1,409.372317,403.811635,409.3566857
Chchd7,-376.6861275,-376.7450563,0.058928772,0.559818623,,0.808197142,1,775.7328334,770.172178,775.6149815
Efnb3,-570.5041415,-571.1520088,0.647867296,0.684171575,,0.42087621,1,1164.546744,1158.98606,1163.25101
Bloc1s1,-530.6437017,-532.7021337,2.058431992,2.794371772,,0.151365858,1,1087.646992,1082.08631,1083.53013
Pcna,-501.308399,-501.3645676,0.056168555,0.560831594,,0.812657518,1,1024.971862,1019.41118,1024.859525
Cflar,-216.5114636,-216.6033686,0.091904976,1.751074419,,0.7617692,1,455.4494639,449.888783,455.2656537
Fam120a,-626.0700237,-626.078923,0.008899321,0.703118791,,0.924842086,1,1274.400573,1268.8399,1274.382774
Ndufa12,-697.6842615,-698.3224625,0.638201017,1.771679258,,0.424362987,1,1418.887651,1413.32697,1417.61125
Zcchc2,-306.9417594,-307.5933641,0.651604666,1.065955615,,0.419539553,1,637.4294537,631.868773,636.1262453
Ndufa8,-647.8995535,-648.0334062,0.133852676,0.700927322,,0.714470426,1,1318.309552,1312.74886,1318.041834
Mcts1,-524.0242841,-524.2444558,0.220171699,1.310964175,,0.638909124,1,1070.731637,1065.17096,1070.291295
Bicd2,-443.6913291,-443.7975572,0.106228092,0.011932389,,0.744479955,1,909.8378515,904.27717,909.6253847
Bcl11b,-577.2417201,-592.450125,15.20840489,2.667712715,,9.63E-05,0.004570399,1207.14258,1201.5819,1176.726167
Aspn,-56.41165857,-56.42043235,0.008773778,1.789305362,,0.925372536,1,135.083591,129.522909,135.0660437
Slc24a2,-490.2747033,-491.1464174,0.871714191,0.719957701,,0.350481185,1,1004.535562,998.97488,1002.792133
Cul9,-335.1810553,-335.1901351,0.009079788,0.002961053,,0.924086138,1,692.6229977,687.062315,692.6048371
Qdpr,-719.5113707,-719.8015038,0.290133074,1.11E-05,,0.590135266,1,1461.845733,1456.28506,1461.265468
Itga3,-154.7996159,-154.7996148,-1.08E-06,0.002683791,,1,1,331.8419561,326.281275,331.8419583
Kcnh3,-601.3823419,-644.8366915,43.45434968,2.261743726,,4.34E-11,1.15E-08,1311.916125,1306.35543,1225.00741
Naa60,-621.9655574,-621.9667284,0.001170999,0.281411339,,0.97270183,1,1266.176265,1260.6155,1266.173841
Prps1l3,-335.5758698,-335.6408061,0.064936258,1.191669982,,0.798857542,1,693.524342,687.963658,693.3944661
4921524J17Rik,-310.3815232,-311.5080488,1.126525678,1.149664352,,0.288517633,1,645.258825,639.698144,643.0057729
Tmem151a,-548.7466652,-549.2058394,0.459174161,1.031038931,,0.498010183,1,1120.654404,1115.09372,1119.736057
Scrg1,-398.8972534,-401.389638,2.492384605,1.151769617,,0.114398277,1,825.0220056,819.46132,820.0372333
Rapgef1,-537.211833,-537.2156944,0.003861361,0.065538101,,0.950451463,1,1096.674223,1091.11355,1096.666393
Tspan3,-918.1415423,-953.6433501,35.50180786,2.537631892,,2.55E-09,4.23E-07,1929.530102,1923.9694,1858.525811
Nrbp1,-536.6267132,-536.6267147,1.47E-06,0.000884108,,0.999033675,1,1095.496151,1089.93547,1095.496153
Spop,-664.7304275,-664.9172749,0.186847318,1.128615685,,0.665553624,1,1352.077275,1346.51659,1351.703582
Cers2,-391.9116331,-392.0748336,0.163200474,0.651015855,,0.68622685,1,806.3923934,800.831713,806.0659927
Tspyl4,-832.6716576,-833.2701985,0.598540857,3.126004734,,0.439135297,1,1688.783113,1683.22243,1687.586042
Calu,-476.5929097,-476.5929097,-4.25E-08,0.563912761,,1,1,975.428546,969.867864,975.4285459
Lyrm2,-237.689409,-237.6918633,0.002454309,0.027270584,,0.960488177,1,497.6264524,492.065771,497.6215445
Kcna2,-709.1345394,-716.8292288,7.694689384,1.164987742,,0.005538354,0.133485212,1455.901291,1450.3405,1440.511805
Slmap,-576.2276412,-576.6500578,0.422416571,0.022907834,,0.515733679,1,1175.542843,1169.98216,1174.698009
Luzp2,-840.5476426,-842.2464927,1.69885004,0.521295354,,0.192438435,1,1706.735764,1701.17504,1703.338012
Smg5,-432.2041571,-432.3386621,0.134505084,0.032568737,,0.713805993,1,886.9200558,881.359386,886.6510407
Sod2,-654.6766748,-654.6766701,-4.75E-06,0.02441942,,1,1,1331.596067,1326.0354,1331.596076
Acads,-166.0805612,-166.2446406,0.164079466,2.209069719,,0.685428089,1,354.7319506,352.92382,354.4038489
Slc35b1,-371.1359428,-371.1359404,-2.38E-06,5.56E-05,,1,1,764.5146054,758.953924,764.5146121
Iqcb1,-305.4177012,-305.4264281,0.008726896,0.659518675,,0.925571604,1,633.0955826,627.534902,633.0781289
Smarcd3,-508.6520525,-509.1876139,0.535561417,1.513741727,,0.464278063,1,1040.618002,1035.05732,1039.546832
Pcdhb19,-77.98166058,-77.98166026,-3.16E-07,0.019483341,,1,1,178.2060474,172.645365,178.2060477
Etv6,-216.5733534,-218.1343173,1.560963954,0.169643667,,0.211524135,1,458.5113606,452.950679,455.3894333
Mmadhc,-481.0821403,-481.5946714,0.512531099,1.13574497,,0.474045211,1,985.4320408,979.871364,984.4070071
Hist1h2ag,-44.08119244,-44.08127977,8.73E-05,1.785939409,,0.992543924,1,110.4052865,104.844607,110.4051114
Phldb1,-570.5243788,-572.2830294,1.758650613,1.250946064,,0.184792915,1,1166.808787,1161.24811,1163.291484
Ip6k2,-521.8082144,-521.8082109,-3.48E-06,4.94E-05,,1,1,1065.859147,1060.29847,1065.859155
Sema6d,-549.38743,-553.2284977,3.841067663,1.381947009,,0.050011666,0.646756604,1128.699682,1123.139,1121.017587
Dynlt3,-630.9627416,-633.3642438,2.401502275,1.557813385,,0.121218792,1,1288.971042,1283.41035,1284.16821
Arxes2,-607.6378696,-607.6454802,0.007610612,0.649073624,,0.930481683,1,1237.533698,1231.97301,1237.518466
Actn4,-382.1309477,-382.1671787,0.036231038,0.001743886,,0.849039167,1,786.5770831,781.016401,786.5046219
Mtrf1,-128.0727518,-128.0727514,-4.04E-07,0.000153887,,1,1,278.3882294,272.827548,278.3882301
Klhl12,-384.5710911,-384.5710906,-5.30E-07,0.008360685,,1,1,791.3849052,785.824226,791.3849087
Ywhaz,-752.3087118,-764.8913986,12.58268675,2.251614153,,0.000389337,0.015551486,1552.025483,1546.46479,1526.86015
Mycl1,-185.3780064,-185.3780059,-4.95E-07,0.008099885,,1,1,392.9987382,387.438057,392.9987393
Ywhae,-852.81531,-858.2959927,5.480682704,2.553151032,,0.019227748,0.326068695,1738.834712,1733.27403,1727.873347
Tmem178,-296.149186,-296.3664627,0.217276685,1.179645656,,0.641122828,1,614.9756521,609.41497,614.5410985
BC018507,-495.3798591,-495.7680998,0.388240734,0.891078657,,0.533225599,1,1013.778928,1008.21825,1013.002445
Mapk14,-502.2766028,-502.4261281,0.149525292,2.021318102,,0.69898942,1,1027.094998,1021.53432,1026.795932
Golga4,-615.2225756,-615.7453533,0.522777743,2.007602198,,0.469659175,1,1253.733433,1248.17287,1252.687878
Zfml,-575.4742253,-575.4742225,-2.74E-06,0.000154992,,1,1,1173.191175,1167.63049,1173.191177
Mlh3,-218.4848497,-218.4869274,0.002077693,1.857405074,,0.963643642,1,459.2165812,453.6559,459.2124259
Prkaa2,-360.0988507,-360.4641638,0.365313038,0.778107654,,0.545570215,1,743.1710557,737.610376,742.4404279
Cltc,-935.0774622,-943.5627601,8.485297927,0.686548031,,0.003580279,0.095168823,1909.368976,1903.80829,1892.397651
1500009C09Rik,-482.8925529,-483.3034651,0.410912177,1.051787448,,0.521506883,1,988.849657,983.289166,988.0278323
D430019H16Rik,-578.1101048,-578.7199829,0.609878166,2.515112459,,0.434833687,1,1179.682613,1174.12182,1178.462936
Cdkn2aipnl,-397.3795997,-398.0185199,0.638920202,0.119234218,,0.424102078,1,818.2797672,812.719085,817.0019259
Hmgcr,-594.6555257,-595.0614538,0.405928062,0.883075254,,0.52404353,1,1212.365683,1206.80498,1211.553778
Fam49a,-589.6095514,-589.6666076,0.057056158,8.49E-05,,0.811210802,1,1201.575942,1196.01526,1201.461829
Ubr3,-669.5210178,-671.4588841,1.937866297,1.096727321,,0.163900396,1,1365.160436,1359.59975,1361.284762
Ifit3,-242.4870609,-247.0528477,4.565786797,1.569913136,,0.032616689,0.461133567,516.348422,510.787743,507.2168483
Kcnh2,-476.800611,-478.8977068,2.097095775,0.836289332,,0.147579222,1,980.0381369,974.477458,975.8439485
Jak1,-619.8209176,-619.8210717,0.000154028,0.26394988,,0.99009786,1,1261.884869,1256.32419,1261.884562
Camsap1,-512.2872235,-513.9789948,1.691771292,1.092999593,,0.193367638,1,1050.200714,1044.64003,1046.817174
Npy1r,-291.1528926,-291.6289,0.476007309,0.781895091,,0.49023643,1,605.5005289,599.939846,604.5485117
Rpe,-264.797352,-266.4393959,1.642043863,2.380086963,,0.200045273,1,555.1215013,549.560824,551.8374305
Dcdc2a,-235.3533701,-235.3533672,-2.93E-06,0.00330603,,1,1,492.9494607,487.388781,492.9494667
Cmpk1,-603.1838381,-603.4025102,0.218672065,1.180397836,,0.640053607,1,1229.047749,1223.48706,1228.610403
Atp5e,-723.3824372,-726.0645892,2.682151975,0.697009647,,0.101478512,0.988512715,1474.371905,1468.81122,1469.007601
Ppp1r15b,-439.4478188,-439.4478142,-4.64E-06,0.002660784,,1,1,901.1383549,895.577673,901.1383641
Gtf2b,-446.5122748,-447.4314113,0.91913655,1.116633455,,0.337701788,1,917.1055507,911.544867,915.2672761
Abr,-758.1986211,-773.445335,15.24671396,1.911877707,,9.43E-05,0.004535353,1569.137203,1563.57652,1538.639969
Scgb1c1,-231.8771505,-239.4918116,7.614661153,1.524347294,,0.005789564,0.137204349,501.2263391,495.665659,485.9970275
Zmym3,-484.6399779,-485.5047369,0.86475894,1.481926739,,0.352410354,1,993.2522012,987.691524,991.5226823
Zfp330,-344.195474,-344.1994519,0.003977845,0.000245381,,0.949710636,1,710.6416305,705.080949,710.6336745
Zbtb41,-429.0679225,-430.4033708,1.335448248,0.731054569,,0.247838277,1,883.0494674,877.488792,880.3785715
Pnpla2,-262.1855983,-262.1855958,-2.44E-06,0.012658181,,1,1,546.613923,541.053242,546.6139231
Wrnip1,-528.5952044,-528.5951972,-7.24E-06,0.007225607,,1,1,1079.433118,1073.87244,1079.433135
Zfand5,-743.9814748,-745.9746414,1.99316658,1.470808161,,0.158010179,1,1514.192009,1508.63133,1510.205676
Ing4,-408.2667812,-409.2981358,1.031354581,0.962443169,,0.309840728,1,840.8389982,835.278314,838.7762889
Car7,-306.8877957,-307.0005557,0.112760016,1.006627895,,0.737023514,1,636.2438372,630.683157,636.0183179
Gpx4,-709.3224456,-710.0229182,0.700472694,0.710551883,,0.402624908,1,1442.288563,1436.72788,1440.887618
Gtf3c2,-352.851416,-352.8834668,0.032050888,0.001024795,,0.857916016,1,728.0097824,722.448987,727.9455585
Ep300,-540.4775673,-540.4775598,-7.54E-06,0.489669626,,1,1,1103.197869,1097.63716,1103.197861
Ndnf,-540.9680849,-541.1162609,0.148175912,0.859727873,,0.700284652,1,1104.47525,1098.91457,1104.178896
Fnbp1l,-663.6595955,-666.5577086,2.898113039,1.477841552,,0.088683311,0.922790837,1355.358077,1349.7974,1349.561918
Rybp,-447.7122001,-447.7123876,0.000187457,0.310227149,,0.98907611,1,917.6675023,912.106837,917.6671267
Mgea5,-695.5410148,-697.5404797,1.999464986,0.856605411,,0.15735474,1,1417.323688,1411.763,1413.324756
Comt,-311.2274504,-311.2615588,0.034108323,0.74072852,,0.853476593,1,644.7658409,639.205159,644.6976273
Fmnl1,-225.1017136,-225.1017134,-2.00E-07,0.127616463,,1,1,472.4461533,466.885468,472.4461537
Scn3a,-525.0561571,-529.3935193,4.337362226,1.652248792,,0.037284645,0.511081675,1081.029763,1075.46908,1072.355041
Rfk,-619.8005778,-621.29313,1.492552283,1.564734271,,0.221820881,1,1264.828989,1259.2683,1261.843882
Myof,-142.6321569,-142.7424789,0.110322028,1.227374402,,0.739777809,1,307.7276845,303.926909,307.5070403
Fam216a,-586.1543443,-588.0626513,1.90830706,0.729382544,,0.167151434,1,1198.368033,1192.80735,1194.551415
Dpp10,-671.2842681,-673.7866638,2.502395703,1.11522723,,0.11367326,1,1369.815985,1364.2553,1364.811263
Eif2ak4,-315.9080728,-316.5530542,0.644981337,1.449980406,,0.421912718,1,655.3488159,649.788134,654.0588721
Erc2,-524.2549395,-525.1388753,0.883935832,0.623623693,,0.347125948,1,1072.520482,1066.95991,1070.752606
Rps18,-606.6627171,-607.5917696,0.929052575,1.274885439,,0.335109234,1,1237.426268,1231.86558,1235.568161
B4galt4,-387.9704037,-387.970399,-4.70E-06,1.327231033,,1,1,798.1835715,792.622843,798.1835339
Ranbp6,-438.6373201,-439.2042161,0.566895991,0.737028789,,0.45149501,1,900.6511587,895.090477,899.5173667
Kif13a,-276.0304247,-276.4028754,0.372450664,1.439971573,,0.541671468,1,575.0484774,569.487796,574.3035759
Zfp14,-183.8769843,-186.8362839,2.959299536,7.914079587,,0.085384923,0.901089897,395.915296,390.354612,389.9966951
Gstm5,-647.3741085,-649.7136051,2.339496598,0.709346935,,0.126130308,1,1321.66994,1316.10927,1316.990944
Micu1,-517.0078232,-517.205219,0.197395757,1.197670987,,0.656831179,1,1056.653162,1051.09248,1056.258373
Serp2,-498.2685221,-498.4937221,0.225199999,1.043067624,,0.635106027,1,1019.230173,1013.66949,1018.779771
Cox10,-314.6603199,-314.6603176,-2.27E-06,0.075050666,,1,1,651.5633617,646.00268,651.5633663
Abi2,-724.2291867,-725.5405291,1.311342458,0.92785183,,0.25215174,1,1482.297993,1476.73731,1470.7011
Rufy1,-372.938452,-372.9800775,0.041625564,2.852187493,,0.838335183,1,768.2028253,762.642148,768.1196305
Mecp2,-562.3985588,-563.7023604,1.30380162,1.365281885,,0.25351998,1,1149.647444,1144.08676,1147.039844
Sf3b3,-531.7219963,-532.0953766,0.373380268,2.409799854,,0.541167473,1,1086.433479,1080.8728,1085.686719
Det1,-79.71649953,-79.71649749,-2.03E-06,0.128703667,,1,1,181.6757224,176.115041,181.6757256
Pcbd1,-152.5190833,-152.5460301,0.026946814,0.034193254,,0.869609245,1,327.3347885,321.774105,327.2808931
Unc5d,-236.9740934,-237.859389,0.88529562,1.143298178,,0.346755342,1,497.961505,492.400823,496.1909133
Nudt4,-761.6348217,-804.3453286,42.71050685,1.737523915,,6.35E-11,1.63E-08,1630.93338,1625.3727,1545.51237
Asphd2,-353.5871069,-353.7036238,0.116516911,1.693212783,,0.732843321,1,729.6499736,724.089292,729.4169403
Ndst2,-261.6280608,-262.0076026,0.379541764,0.823929936,,0.537848578,1,546.2579319,540.69725,545.4988481
Ccni,-789.8148686,-795.3661959,5.551327328,1.203560189,,0.018466678,0.319065545,1612.975119,1607.41444,1601.872464
Dab1,-535.5267382,-536.8815528,1.354814658,1.750851706,,0.244438172,1,1096.005786,1090.4451,1093.296203
Tomm5,-545.8031273,-545.8780872,0.074959902,0.000114939,,0.7842475,1,1113.998906,1108.43822,1113.848981
Ccdc101,-229.8642091,-229.8642094,2.68E-07,0.014386266,,0.999586793,1,481.971145,476.410463,481.9711447
Kif21b,-416.7128184,-417.5519959,0.839177483,1.591793388,,0.359632117,1,857.3467198,851.786038,855.6683633
Sgcb,-479.2582146,-479.2582077,-6.88E-06,0.007594754,,1,1,980.7591418,975.19846,980.7591557
Cacna2d1,-496.2915768,-504.7385134,8.446936599,2.75065389,,0.003656588,0.096506658,1031.719754,1026.15907,1014.82588
Hid1,-404.962737,-404.9627361,-9.19E-07,1.285563596,,1,1,832.1682042,826.607517,832.1682005
Map1lc3b,-730.6791434,-730.7424988,0.063355311,3.517880096,,0.80126924,1,1493.032895,1478.16704,1483.601013
Col4a6,-79.37352192,-81.53378171,2.160259786,1.838544516,,0.141620745,1,184.242092,178.68141,180.9897704
Fbxw7,-631.5678433,-638.9366959,7.368852592,1.990524065,,0.006636327,0.152942861,1300.116121,1294.55544,1285.378413
Slc38a1,-715.6215989,-717.2429534,1.621354499,0.844023384,,0.202903025,1,1456.728633,1451.16796,1453.485924
Snapin,-467.1889899,-468.0108267,0.821836792,0.860113365,,0.364643678,1,958.2643948,952.703713,956.6207063
1110004E09Rik,-359.3620909,-361.0188009,1.656709992,2.501130586,,0.19804812,1,744.2803576,738.719676,740.9669083
Nono,-691.9518549,-694.1517343,2.199879456,3.513418095,,0.13802153,1,1410.546195,1413.65007,1406.146436
Ier3ip1,-552.3883475,-554.3362948,1.947947354,0.99893328,,0.162808215,1,1130.915315,1125.35463,1127.019422
Pcbp2,-238.3868689,-238.4746933,0.087824349,2.744156137,,0.766961482,1,499.1921343,494.911834,499.0164643
Cmip,-661.7759941,-670.8637747,9.087780547,0.661906152,,0.00257323,0.072279052,1349.860798,1344.30012,1345.794715
Nudc,-569.3633536,-569.3835687,0.020215079,0.860579013,,0.886938034,1,1161.009863,1155.44918,1160.969434
Spcs1,-654.4038225,-655.4840858,1.080263383,2.415993286,,0.298638643,1,1333.210806,1327.65012,1331.050372
Rrbp1,-505.2922412,-507.8579797,2.565738523,1.110102048,,0.10920155,1,1037.95869,1032.39801,1032.827209
1810055G02Rik,-301.3997998,-301.7726448,0.372844978,0.936519059,,0.541457581,1,625.7881362,620.227455,625.0423261
Asxl1,-393.895424,-394.5288628,0.633438826,2.598663703,,0.426096729,1,811.3004494,805.739769,810.0335745
Mknk1,-327.101489,-327.8065082,0.705019184,2.942925479,,0.401102298,1,677.8557438,672.295075,676.4457045
H13,-431.2255258,-431.3440072,0.118481429,0.000176034,,0.730687374,1,884.9307414,879.37006,884.6937781
Mta1,-450.7297473,-451.1233323,0.393585028,0.568904465,,0.530420953,1,924.4893915,918.928717,923.7022211
Tnks1bp1,-219.0726596,-219.1210543,0.048394656,0.577553698,,0.825880614,1,460.4848367,454.924155,460.3880457
Fam78b,-329.6981175,-329.9368118,0.238694315,1.676497941,,0.625150743,1,682.1163701,676.555666,681.6389615
Phax,-465.0939994,-465.0939957,-3.64E-06,0.159452825,,1,1,952.430718,946.870036,952.4307253
Fabp7,-1132.469985,-1307.86026,175.3902751,1.855783747,,0,0,2637.965784,2632.40512,2287.182697
Smpd1,-591.1089574,-591.1672919,0.05833442,0.782760757,,0.809148091,1,1204.577312,1199.01663,1204.460641
Hadhb,-698.2807549,-712.7090741,14.42831914,1.991865027,,0.000145596,0.006567685,1447.660877,1442.1002,1418.804236
Anapc7,-330.345667,-330.8316098,0.485942801,2.749227267,,0.485742732,1,683.905943,678.345261,682.9340605
Mkks,-514.0844045,-514.6347813,0.550376778,1.751487186,,0.458163784,1,1051.512261,1045.95158,1050.411536
Bms1,-309.3688936,-309.4617159,0.092822341,0.67744234,,0.760619335,1,641.166154,635.605472,640.9805137
Epha1,-40.83842445,-40.83842414,-3.11E-07,0.646676973,,1,1,103.9195749,98.3588932,103.9195754
AI413582,-350.593999,-351.1130666,0.519067677,0.925342857,,0.471239656,1,724.4688478,718.908166,723.4307245
Bace1,-511.2468044,-511.8410472,0.594242746,1.054235959,,0.440783149,1,1045.924821,1040.36414,1044.736335
Sart1,-313.7851987,-313.8478654,0.062666712,1.107462339,,0.802329683,1,649.9384563,644.377775,649.8131239
Ablim1,-564.3516471,-570.0995596,5.747912413,1.711446808,,0.016508263,0.295228736,1162.441697,1156.88101,1150.946021
Kcnk13,-270.3329539,-270.5974025,0.264448632,0.771532635,,0.607080226,1,563.4375299,557.876848,562.9086343
Wsb1,-522.8282454,-523.6314339,0.803188512,0.974435379,,0.370141763,1,1069.505607,1063.94491,1067.899217
Slc25a46,-544.0338341,-544.0568647,0.023030578,0.65661807,,0.879377583,1,1110.356451,1104.79577,1110.310395
Tcn2,-440.6412471,-449.0433089,8.402061862,1.245766366,,0.003747957,0.09822026,920.3294777,914.768797,903.5252207
Sema6a,-502.1486484,-506.4625356,4.313887126,1.516326639,,0.03780249,0.517225776,1035.167886,1029.60712,1026.540023
Ube4b,-483.3672317,-483.5107339,0.143502227,1.071363982,,0.704823853,1,989.2641947,983.703513,988.9771899
